"Childhood obesity for children in Year 6 by area (2014/15 - 2024/25)","","","",""
"","","","",""
"ONS Code","Area","Proportion of obese children in Year 6 (2014/15)","Proportion of obese children in Year 6 (2024/25)","Percentage points change between 2014/15 and 2024/25"
"E92000001","England","19.1%","22.2%","3.2%"
"E12000007","London","22.6%","23.2%","0.6%"
"E09000002","Barking and Dagenham","25.4%","28.3%","2.9%"
"E09000003","Barnet","18%","20%","2%"
"E09000004","Bexley","22.1%","22%","-0.1%"
"E09000005","Brent","24%","24.7%","0.7%"
"E09000006","Bromley","16.5%","17.8%","1.3%"
"E09000007","Camden","20.7%","21.8%","1.2%"
"E09000008","Croydon","24%","24.2%","0.3%"
"E09000009","Ealing","22.9%","23.9%","1%"
"E09000010","Enfield","25.7%","26.4%","0.7%"
"E09000011","Greenwich","23.6%","26.3%","2.7%"
"E09000012","Hackney","25.7%","24.9%","-0.8%"
"E09000013","Hammersmith and Fulham","23.2%","17.3%","-6%"
"E09000014","Haringey","23.1%","24.8%","1.7%"
"E09000015","Harrow","21.2%","22.3%","1.1%"
"E09000016","Havering","20.6%","23.6%","3%"
"E09000017","Hillingdon","19.3%","21.3%","2%"
"E09000018","Hounslow","22.6%","23.6%","1%"
"E09000019","Islington","21.9%","22.2%","0.3%"
"E09000020","Kensington and Chelsea","23.5%","18%","-5.5%"
"E09000021","Kingston upon Thames","15.9%","14.6%","-1.3%"
"E09000022","Lambeth","26.6%","25.2%","-1.3%"
"E09000023","Lewisham","24.8%","24.5%","-0.3%"
"E09000024","Merton","21.9%","19.7%","-2.2%"
"E09000025","Newham","27.4%","28.3%","0.8%"
"E09000026","Redbridge","23.3%","23.1%","-0.2%"
"E09000027","Richmond upon Thames","10.4%","12.1%","1.7%"
"E09000028","Southwark","27.7%","29.7%","1.9%"
"E09000029","Sutton","17.1%","19.1%","2%"
"E09000030","Tower Hamlets","27%","28.4%","1.4%"
"E09000031","Waltham Forest","21.6%","22.3%","0.8%"
"E09000032","Wandsworth","20.6%","19%","-1.6%"
"E09000033","Westminster","24.4%","24.2%","-0.2%"
"","","","",""
"Note: ","","","",""
"Data source: Public Health England","","","",""
"Chart source: London's Poverty Profile 2024","","","",""
"London's Poverty Profile is created by charitable funder Trust for London, and economic and public policy consultancy, WPI Economics","","","",""
"http://www.trustforlondon.org.uk/data","","","",""
"","","","",""
